Category: All categories,,
,,
Day,covid-19: (United States),coronavirus: (United States)
3/1/20,<1,17
3/2/20,<1,25
3/3/20,<1,25
3/4/20,<1,24
3/5/20,1,29
3/6/20,1,30
3/7/20,1,30
3/8/20,1,30
3/9/20,1,37
3/10/20,1,44
3/11/20,1,54
3/12/20,2,95
3/13/20,3,86
3/14/20,2,77
3/15/20,3,100
3/16/20,3,96
3/17/20,4,87
3/18/20,4,79
3/19/20,4,76
3/20/20,3,75
3/21/20,3,71
3/22/20,3,78
3/23/20,4,69
3/24/20,3,62
3/25/20,3,58
3/26/20,4,59
3/27/20,4,60
3/28/20,3,56
3/29/20,3,54
3/30/20,4,50
3/31/20,4,49
4/1/20,3,47
